id 0	NA IP OA
id 1	NA PB
id 2	OP
id 3	IN EN
id 4	NA NE
id 5	IP DS
id 6	IN EN
id 7	NA SR
id 8	IP IN DS LT
id 9	IN
id 10	NA PB
id 11	NA OP PB RV
id 12	NA IN PB DT
id 13	ID QA
id 14	IN IP DP
id 15	IP DS
id 16	IP DS
id 17	IP DS
id 18	IN
id 19	IN EN
id 20	NA PB
id 21	IN IP DT
id 22	IN IB
id 23	IN EN
id 24	IP DS
id 25	IP IN DS FA
id 26	OP IP OB
id 27	IN LT
id 28	NA OA
id 29	NA PB
id 30	NA CB
id 31	HI
id 32	IP DS
id 33	IP IN JD
id 34	ID DF
id 35	IP IN FA
id 36	NA NE
id 37	NA PB
id 38	IP DS
id 39	IP DS
id 40	NA SR
id 41	IP DS
id 42	IN DT
id 43	IN DT
id 44	IN RP
id 45	NA NE
id 46	NA PB
id 47	IN EN
id 48	NA PB
id 49	IN DP
id 50	NA CB NE
id 51	IP DS
id 52	OP OB
id 53	OP OB
id 54	NA NE
id 55	NA NE
id 56	NA NE
id 57	IP DS
id 58	IP DS
id 59	NA NE
id 60	IN EN
id 61	NA PB
id 62	IP DS
id 63	NA NE
id 64	IN IP JD
id 65	IN
id 66	IP DS
id 67	OP IP RV
id 68	NA TB
id 69	IN EN
id 70	IN EN
id 71	NA HI CB
id 72	IN LT
id 73	OP OB
id 74	NA PB
id 75	IP DS
id 76	IP DS
id 77	IP DS
id 78	IN DT
id 79	IN EN
id 80	NA CB NE
id 81	NA PB
id 82	IN DT
id 83	NA PB
id 84	IN DT
id 85	ID
id 86	OP IN RV FA
id 87	IP DS
id 88	IN HI DT
id 89	IN LT
id 90	OP OB
id 91	NA IP PB DS
id 92	NA NE
id 93	NA HI OA
id 94	NA PB
id 95	OP OB
id 96	NA PB
id 97	IP
id 98	OP OB
id 99	IN EN
id 100	ID QA
id 101	OP OB
id 102	IP DS
id 103	ID OP RV
id 104	IN NA DP HA
id 105	IN EN
id 106	IP HI DS
id 107	IP DS
id 108	IP IN DS FA
id 109	IP DS
id 110	NA PB
id 111	NA NE
id 112	IP NA DS PB
id 113	NA PB
id 114	IP DS
id 115	OP OB
id 116	NA PB
id 117	NA PB
id 118	HI
id 119	NA PB
id 120	NA PB
id 121	IN EN
id 122	IP DS
id 123	IP DS
id 124	NA OP HA
id 125	IP DS
id 126	NA PB
id 127	NA PB
id 128	NA NE
id 129	NA CB
id 130	IN HI
id 131	NA HA
id 132	IP DS
id 133	IN EN
id 134	NA OP PB RV
id 135	NA TB
id 136	OP NA OB TB
id 137	IN DT
id 138	IP DS
id 139	NA OP OA RV
id 140	NA PB
id 141	NA PB
id 142	HI IP DS
id 143	IN EN
id 144	IN LT
id 145	NA PB
id 146	NA PB
id 147	NA NE
id 148	NA NE
id 149	NA NE
id 150	IP DS
id 151	HI
id 152	IN DT
id 153	NA LY SO
id 154	IN DT
id 155	IN DT
id 156	OP OB
id 157	NA PB
id 158	IP DS
id 159	NA
id 160	OP IP OB
id 161	IN
id 162	NA CB
id 163	IN ID EN DF
id 164	IP DS
id 165	IP
id 166	NA PB
id 167	IP DS
id 168	NA PB
id 169	IP DS
id 170	IP DS
id 171	NA NE
id 172	IP DS
id 173	IN EN
id 174	IN DT
id 175	IN DT
id 176	IP DS
id 177	IN LT
id 178	IP EB
id 179	IN JD
id 180	IN EN
id 181	IN DP
id 182	IP DS
id 183	IP
id 184	NA NE
id 185	NA PB
id 186	NA PB
id 187	NA HI PB RE
id 188	NA OA
id 189	IN EN
id 190	IN DT
id 191	IN DT LT
id 192	NA CB
id 193	ID DF
id 194	IN DT
id 195	IP DS
id 196	IN IP FA DS
id 197	IN IP IB DS
id 198	IP DS
id 199	ID
id 200	NA CB
id 201	NA TB
id 202	IP DS
id 203	HI IN LT
id 204	IN DT
id 205	IP DS
id 206	IP IN FA
id 207	NA PB
id 208	NA NE
id 209	NA PB
id 210	ID OP DF
id 211	NA IP PB DS
id 212	NA PB
id 213	OP OB
id 214	IP DS
id 215	IP DS
id 216	IP DS
id 217	IP
id 218	IN LT
id 219	IN EN
id 220	IN EN
id 221	NA PB
id 222	IP DS
id 223	IN EN
id 224	IN LT
id 225	IN EN
id 226	NA PB
id 227	NA SR
id 228	NA PB
id 229	HI
id 230	NA NE
id 231	NA PB
id 232	IP DS
id 233	OP OB
id 234	IP DS
id 235	NA
id 236	OP OB
id 237	IP IN DS
id 238	IN IP DT
id 239	IN DT
id 240	IP DS
id 241	IP OP DS RV
id 242	IP DS
id 243	NA OP PB RV
id 244	IN OP IB AV
id 245	NA OP PB RV
id 246	OP IP RS
id 247	IP IN DS JD
id 248	NA PB
id 249	OP RV
id 250	NA IP PB DS
id 251	IP DS
id 252	IN DT
id 253	NA IP PB
id 254	IP DS
id 255	IP DS
id 256	IN EN
id 257	ID DF
id 258	IP DS
id 259	IP DS
id 260	IN DT
id 261	OP OB
id 262	NA FC
id 263	IN EN
id 264	IP DS
id 265	IN IP DP DS
id 266	IP
id 267	NA PB
id 268	NA SR
id 269	NA PB
id 270	NA PB
id 271	NA CB
id 272	OP OB
id 273	IN EN
id 274	IN LT
id 275	NA PB
id 276	NA PB
id 277	IN HI DT
id 278	IP DS
id 279	HI RE
id 280	IP EB
id 281	IN HI DT
id 282	ID
id 283	NA NE
id 284	IP
id 285	OP RV
id 286	OP IN RV DP
id 287	IP IN DS DT
id 288	NA IP NE
id 289	NA HA
id 290	IN IB CM
id 291	IN OP DT AV
id 292	NA NE
id 293	NA PB
id 294	IN EN
id 295	NA NE
id 296	NA PB
id 297	IP EB
id 298	IN EN
id 299	IP DS
id 300	IN HI DT
id 301	NA OP PB OB
id 302	IP DS
id 303	IN HI DT
id 304	IP
id 305	NA PB
id 306	IN OP IB AV
id 307	IP DS
id 308	IN EN
id 309	NA CB
id 310	IP
id 311	IP DS
id 312	NA IP NE
id 313	IN EN
id 314	NA OP OA
id 315	IP DS
id 316	IN DT
id 317	IN EN
id 318	NA OP PB RV
id 319	NA NE
id 320	IN EN
id 321	IP DS
id 322	IN DT
id 323	IP
id 324	NA NE
id 325	NA CB
id 326	IP OP DS RV
id 327	IP DS
id 328	IN EN
id 329	ID OP AV
id 330	IP NA CB
id 331	SP FS
id 332	OP OB
id 333	OP OB
id 334	IP
id 335	NA OP CB
id 336	IN DT
id 337	IN IP DT DS
id 338	IN DT
id 339	NA PB
