id 0	OP AV
id 1	OP OB
id 2	NA IN NE RA
id 3	ID DF
id 4	NA
id 5	NA SS
id 6	ID DF
id 7	ID QA
id 8	ID DF
id 9	NA NE
id 10	OP RV
id 11	IN HI HT
id 12	IN IP DT DS
id 13	NA OP PB
id 14	IN IB
id 15	ID DF
id 16	NA IN NE
id 17	NA ID PB
id 18	IN IB
id 19	NA IN NE
id 20	ID DF
id 21	ID DF
id 22	ID DF QA
id 23	NA IN NE
id 24	NA OP NE OB
id 25	ID DF RR
id 26	OP RV
id 27	IN HI HT
id 28	LY SL
id 29	OP OB
id 30	IP DS
id 31	IN IP DT DS
id 32	NA OP RV
id 33	LY SL
id 34	IN OP IB AV
id 35	NA NE
id 36	SP IT
id 37	ID DF
id 38	OP OB
id 39	OP RV
id 40	NA OP TB OB
id 41	IN OP IB
id 42	HI HT
id 43	IN IP DT DS
id 44	NA NE
id 45	OP OB
id 46	IP PA
id 47	SP IT
id 48	NA NE
id 49	NA IN
id 50	ID DF
id 51	ID QA
id 52	NA OP SR OB
id 53	OP LE
id 54	OP RV
id 55	NA NE
id 56	SP IT
id 57	LY SL
id 58	IN HI HT
id 59	LY PR
id 60	IN IB
id 61	IN
id 62	HI HT
id 63	ID DF
id 64	NA SR
id 65	NA OP SR OB
id 66	NA SP
id 67	NA IN NE
id 68	LY SL
id 69	NA OP NE OB
id 70	IP DS
id 71	NA OP NE OB
id 72	LY SL
id 73	NA IN NE
id 74	HI HT
id 75	NA IN
id 76	ID QA
id 77	IN IP IB PA
id 78	LY SL
id 79	LY PO
id 80	OP
id 81	HI HT
id 82	HI HT
id 83	OP RV
id 84	IP
id 85	IP DS
id 86	NA OP PB OB
id 87	ID DF
id 88	OP IP OB
id 89	IP
id 90	NA IN DP
id 91	NA IN NE
id 92	IN IP DT DS
id 93	NA OP NE OB
id 94	SP IT
id 95	IP DS
id 96	ID DF
id 97	OP LY RV SL
id 98	ID DF
id 99	NA PB
id 100	IN DT
id 101	NA IN NE DP
id 102	NA OP PB OB
id 103	IN RA
id 104	IN HI HT
id 105	IP DS
id 106	ID QA
id 107	NA OP PB OB
id 108	IN IB
id 109	HI HT
id 110	NA OP PB OB
id 111	NA SR
id 112	IN IB
id 113	OP OB
id 114	OP RS
id 115	ID DF
id 116	NA IN NE DT
id 117	OP OB
id 118	NA NE
id 119	NA IN DP
id 120	OP AV RS
id 121	NA OP OB
id 122	NA NE
id 123	OP OB
id 124	IP DS
id 125	NA IN NE DP
id 126	HI IP HT DS
id 127	NA IN DP
id 128	HI HT
id 129	NA OP OB
id 130	NA OP NE AV
id 131	NA OP SR OB
id 132	NA OP PB OB
id 133	IN OP IB OB
id 134	NA NE
id 135	OP
id 136	NA IN DP
id 137	HI RE
id 138	NA OP SR OB
id 139	NA OP OB
id 140	IN CM DT
id 141	HI HT
id 142	LY SL
id 143	ID DF
id 144	NA IN NE
id 145	IN DT
id 146	NA SR
id 147	ID QA
id 148	LY SL
id 149	NA IP NE
id 150	NA NE
id 151	NA OP NE OB
id 152	ID QA
id 153	NA IN HA
id 154	NA IN DT
id 155	ID DF
id 156	IP DS
id 157	LY SL
id 158	ID DF
id 159	OP RS
id 160	IN IB
id 161	NA IN NE DP
id 162	ID DF
id 163	HI HT
id 164	IN OP IB
id 165	ID DF
id 166	IP DS
id 167	NA IN PB
id 168	IN OP IB
id 169	IN RA
id 170	NA NE SR
id 171	NA IN NE
id 172	HI TS
id 173	ID QA
id 174	SP IT
id 175	IP PA
id 176	IP DS
id 177	IP DS
id 178	NA IN NE
id 179	HI HT
id 180	IN DT
id 181	ID DF
id 182	IN OP OB
id 183	IP DS
id 184	NA IN NE DT
id 185	SP TA
id 186	NA OP PB OB
id 187	IN
id 188	IN RA
id 189	NA PB
id 190	OP HI HT
id 191	IP DS
id 192	IP DS
id 193	HI HT
id 194	OP HI AV HT
id 195	SP IT TA
id 196	HI
id 197	HI FH
id 198	ID DF
id 199	NA NE
id 200	OP RV
id 201	NA OP NE OB
id 202	SP
id 203	ID QA
id 204	NA IN HA
id 205	NA IN
id 206	NA OP PB OB
id 207	LY SL
id 208	ID DF
id 209	HI HT
id 210	ID DF
id 211	IP DS
id 212	ID DF
id 213	IP DS
id 214	IN IB
id 215	IP DS
id 216	NA IN PB
id 217	NA IN NE
id 218	HI HT
id 219	ID DF
id 220	NA PB
id 221	NA IP ED
id 222	IP DS
id 223	LY SL
id 224	NA OP NE OB
id 225	NA OP PB
id 226	SP IT
id 227	NA OP OB
id 228	OP OB
id 229	SP IT
id 230	IN LT
id 231	IN HI
id 232	HI HT
id 233	ID QA
id 234	OP OB
id 235	LY SL
id 236	NA SP NE IT
id 237	ID QA
id 238	IN FI
id 239	SP IT
id 240	NA PB
id 241	NA IN NE DT
id 242	OP RV
id 243	IN
id 244	SP IT
id 245	NA OP NE OB
id 246	HI HT
id 247	IN IP DT
id 248	NA OP SR OB
id 249	HI HT
id 250	NA IN NE
id 251	HI HT
id 252	IN
id 253	SP IT TA
id 254	HI HT
id 255	IN DT
id 256	NA OP OB
id 257	OP OB
